q,latitude,longitude,result_label,result_score,result_score_next,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
80 Avenue CHANDON 92230 GENNEVILLIERS Hauts-de-Seine,48.920213,2.303256,80 Avenue Chandon 92230 Gennevilliers,0.7058621390374331,0.5038855183413078,housenumber,92036_1430_00080,80,80 Avenue Chandon,Avenue Chandon,92230,Gennevilliers,"92, Hauts-de-Seine, Île-de-France",92036,,,,ok
92 Rue DE GERGOVIE 75014 PARIS Paris,48.831226,2.318401,92 Rue de Gergovie 75014 Paris,0.8229803896103896,0.6281436363636362,housenumber,75114_4171_00092,92,92 Rue de Gergovie,Rue de Gergovie,75014,Paris,"75, Paris, Île-de-France",75114,,,Paris 14e Arrondissement,ok
2 RUE DE LORRAINE 78200 MANTES LA JOLIE Yvelines,48.986138,1.716805,2 Rue de Lorraine 78200 Mantes-la-Jolie,0.7962069439071565,,housenumber,78361_1220_00002,2,2 Rue de Lorraine,Rue de Lorraine,78200,Mantes-la-Jolie,"78, Yvelines, Île-de-France",78361,,,,ok
58 Avenue DU RAINCY 93250 VILLEMOMBLE Seine-Saint-Denis,48.888463,2.510378,58 Avenue du Raincy 93250 Villemomble,0.6665478787878787,0.5758238058551618,housenumber,93077_8110_00058,58,58 Avenue du Raincy,Avenue du Raincy,93250,Villemomble,"93, Seine-Saint-Denis, Île-de-France",93077,,,,ok
281 RUE DE VAUGIRARD 75015 PARIS Paris,48.839413,2.301577,281 Rue de Vaugirard 75015 Paris,0.8388298525798525,0.574849595959596,housenumber,75115_9624_00281,281,281 Rue de Vaugirard,Rue de Vaugirard,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
41 Rue DU LANGUEDOC 93290 TREMBLAY EN FRANCE Seine-Saint-Denis,48.944109,2.581004,Rue du Languedoc 93290 Tremblay-en-France,0.6566615499254843,,street,93073_0800,,Rue du Languedoc,Rue du Languedoc,93290,Tremblay-en-France,"93, Seine-Saint-Denis, Île-de-France",93073,,,,ok
7 BIS RUE ADRIEN MENTIENNE 94350 VILLIERS SUR MARNE Val-de-Marne,48.829016,2.540729,7bis Rue Adrien Mentienne 94350 Villiers-sur-Marne,0.73563,,housenumber,94079_0005_00007_bis,7bis,7bis Rue Adrien Mentienne,Rue Adrien Mentienne,94350,Villiers-sur-Marne,"94, Val-de-Marne, Île-de-France",94079,,,,ok
90 AVENUE NIEL 75017 PARIS Paris,48.883668,2.296996,90 Avenue Niel 75017 Paris,0.8019005571847506,0.46183585858585857,housenumber,75117_6773_00090,90,90 Avenue Niel,Avenue Niel,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
7 BIS RUE ADRIEN MENTIENNE 94350 VILLIERS SUR MARNE Val-de-Marne,48.829016,2.540729,7bis Rue Adrien Mentienne 94350 Villiers-sur-Marne,0.73563,,housenumber,94079_0005_00007_bis,7bis,7bis Rue Adrien Mentienne,Rue Adrien Mentienne,94350,Villiers-sur-Marne,"94, Val-de-Marne, Île-de-France",94079,,,,ok
49 RUE DU RANELAGH 75016 PARIS Paris,48.854306,2.274872,49 Rue du Ranelagh 75016 Paris,0.8246367532467532,0.6427705827505827,housenumber,75116_8029_00049,49,49 Rue du Ranelagh,Rue du Ranelagh,75016,Paris,"75, Paris, Île-de-France",75116,,,Paris 16e Arrondissement,ok
12 RUE MORERE 75014 PARIS Paris,48.82469,2.322207,12 Rue Morère 75014 Paris,0.7921009090909091,0.6299387469287469,housenumber,75114_6551_00012,12,12 Rue Morère,Rue Morère,75014,Paris,"75, Paris, Île-de-France",75114,,,Paris 14e Arrondissement,ok
94 RUE BRILLAT SAVARIN 75013 PARIS Paris,48.824532,2.343058,94 Rue Brillat-Savarin 75013 Paris,0.8403398601398602,,housenumber,75113_1300_00094,94,94 Rue Brillat-Savarin,Rue Brillat-Savarin,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
30 Rue MARCEL PAUL 93700 DRANCY Seine-Saint-Denis,48.924221,2.441987,30 Allee Marcel Paul 93700 Drancy,0.5209163293310463,0.49691202797202794,housenumber,93029_6133_00030,30,30 Allee Marcel Paul,Allee Marcel Paul,93700,Drancy,"93, Seine-Saint-Denis, Île-de-France",93029,,,,ok
5 RUE THERESE DELAPIERRE 77380 COMBS LA VILLE Seine-et-Marne,48.665458,2.5573,5 Rue Thérèse Delapierre 77380 Combs-la-Ville,0.7256661016949152,,housenumber,77122_0980_00005,5,5 Rue Thérèse Delapierre,Rue Thérèse Delapierre,77380,Combs-la-Ville,"77, Seine-et-Marne, Île-de-France",77122,,,,ok
9 Rue BOUDREAU 75009 PARIS Paris,48.872193,2.328876,9 Rue Boudreau 75009 Paris,0.7894614662756597,,housenumber,75109_1145_00009,9,9 Rue Boudreau,Rue Boudreau,75009,Paris,"75, Paris, Île-de-France",75109,,,Paris 9e Arrondissement,ok
23 BIS BOULEVARD LEON REVILLON 94470 BOISSY ST LEGER Val-de-Marne,48.746532,2.512438,23bis Boulevard Leon Revillon 94470 Boissy-Saint-Léger,0.6889719762845848,,housenumber,94004_0200_00023_bis,23bis,23bis Boulevard Leon Revillon,Boulevard Leon Revillon,94470,Boissy-Saint-Léger,"94, Val-de-Marne, Île-de-France",94004,,,,ok
5 AVENUE DES 4 CHEMINS 92330 SCEAUX Hauts-de-Seine,48.778732,2.280052,5 Avenue des 4 Chemins 92330 Sceaux,0.6871905009276437,,housenumber,92071_7920_00005,5,5 Avenue des 4 Chemins,Avenue des 4 Chemins,92330,Sceaux,"92, Hauts-de-Seine, Île-de-France",92071,,,,ok
45 RUE DU GENERAL LECLERC 92270 BOIS COLOMBES Hauts-de-Seine,48.915366,2.269486,45 Rue du Général Leclerc 92270 Bois-Colombes,0.7416370107858243,,housenumber,92009_4150_00045,45,45 Rue du Général Leclerc,Rue du Général Leclerc,92270,Bois-Colombes,"92, Hauts-de-Seine, Île-de-France",92009,,,,ok
76 AVENUE GAMBETTA 92400 COURBEVOIE Hauts-de-Seine,48.893537,2.248131,76 Avenue Gambetta 92400 Courbevoie,0.6928468645640073,,housenumber,92026_4110_00076,76,76 Avenue Gambetta,Avenue Gambetta,92400,Courbevoie,"92, Hauts-de-Seine, Île-de-France",92026,,,,ok
10 RUE FRANCOIS VILLON 95430 AUVERS SUR OISE Val-d'Oise,49.069741,2.162129,10 Rue François Villon 95430 Auvers-sur-Oise,0.7800439057239057,,housenumber,95039_0270_00010,10,10 Rue François Villon,Rue François Villon,95430,Auvers-sur-Oise,"95, Val-d'Oise, Île-de-France",95039,,,,ok
RES LES HTS DE ST NICOLAS 95130 LE PLESSIS BOUCHARD Val-d'Oise,48.998975,2.241572,Res les Hauts de Saint Nicolas 95130 Le Plessis-Bouchard,0.6912048663101604,0.5558900547645126,street,95491_A126,,Res les Hauts de Saint Nicolas,Res les Hauts de Saint Nicolas,95130,Le Plessis-Bouchard,"95, Val-d'Oise, Île-de-France",95491,,,,ok
48 AVENUE PAUL VALERY 95200 SARCELLES Val-d'Oise,48.97942,2.379421,48 Avenue Paul Valéry 95200 Sarcelles,0.7621113152804642,0.4801161038961038,housenumber,95585_1970_00048,48,48 Avenue Paul Valéry,Avenue Paul Valéry,95200,Sarcelles,"95, Val-d'Oise, Île-de-France",95585,,,,ok
73 BIS CHAUSSEE JULES CESAR 95130 FRANCONVILLE LA GARENNE Val-d'Oise,48.996477,2.236724,73bis Chaussée Jules César 95130 Franconville,0.6383299465240642,,housenumber,95252_0430_00073_bis,73bis,73bis Chaussée Jules César,Chaussée Jules César,95130,Franconville,"95, Val-d'Oise, Île-de-France",95252,,,,ok
56 RUE DU 14 JUILLET 94140 ALFORTVILLE Val-de-Marne,48.804255,2.419493,56 Rue du 14 Juillet 94140 Alfortville,0.7344981818181817,,housenumber,94002_7920_00056,56,56 Rue du 14 Juillet,Rue du 14 Juillet,94140,Alfortville,"94, Val-de-Marne, Île-de-France",94002,,,,ok
119 AVENUE DES CHAMPS ELYSEES 75008 PARIS Paris,48.872306,2.298525,119 Avenue des Champs Elysées 75008 Paris,0.8546892885375493,0.6180508912655971,housenumber,75108_1733_00119,119,119 Avenue des Champs Elysées,Avenue des Champs Elysées,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
28 PLACE DE FRANCE 95200 SARCELLES Val-d'Oise,48.978529,2.378656,28 Place de France 95200 Sarcelles,0.7420236363636363,0.5111036363636363,housenumber,95585_1005_00028,28,28 Place de France,Place de France,95200,Sarcelles,"95, Val-d'Oise, Île-de-France",95585,,,,ok
38 Esplanade DE L EUROPE 95100 ARGENTEUIL Val-d'Oise,48.952818,2.225977,Esplanade de l’Europe 95100 Argenteuil,0.7122419964349376,,street,95018_2048,,Esplanade de l’Europe,Esplanade de l’Europe,95100,Argenteuil,"95, Val-d'Oise, Île-de-France",95018,,,,ok
18 RUE GUSTAVE NAST 77500 CHELLES Seine-et-Marne,48.879917,2.58645,18 Rue Gustave Nast 77500 Chelles,0.6849718762088974,,housenumber,77108_1850_00018,18,18 Rue Gustave Nast,Rue Gustave Nast,77500,Chelles,"77, Seine-et-Marne, Île-de-France",77108,,,,ok
44 Rue D AMSTERDAM 75311 PARIS CEDEX 09 Paris,48.878401,2.32706,44 Rue d'Amsterdam 75009 Paris,0.5961259288537549,0.4771857575757575,housenumber,75109_0300_00044,44,44 Rue d'Amsterdam,Rue d'Amsterdam,75009,Paris,"75, Paris, Île-de-France",75109,,,Paris 9e Arrondissement,ok
1 BIS RUE MARCEAU 78800 HOUILLES Yvelines,48.924823,2.18542,1bis Rue Marceau 78800 Houilles,0.7033955210643015,,housenumber,78311_1340_00001_bis,1bis,1bis Rue Marceau,Rue Marceau,78800,Houilles,"78, Yvelines, Île-de-France",78311,,,,ok
87 BOULEVARD DE PORT ROYAL 75013 PARIS Paris,48.838013,2.342774,87 Boulevard de Port-Royal 75013 Paris,0.8483564693446087,0.5552569696969696,housenumber,75113_7740_00087,87,87 Boulevard de Port-Royal,Boulevard de Port-Royal,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
21 RUE BIOT 75017 PARIS Paris,48.884754,2.325631,21 Rue Biot 75017 Paris,0.7793966233766233,0.41099818181818176,housenumber,75117_0976_00021,21,21 Rue Biot,Rue Biot,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
5 B QUAI DE LA REPUBLIQUE 94410 ST MAURICE Val-de-Marne,48.817843,2.42153,5b Quai de la République 94410 Saint-Maurice,0.6345625423728812,,housenumber,94069_8130_00005_b,5b,5b Quai de la République,Quai de la République,94410,Saint-Maurice,"94, Val-de-Marne, Île-de-France",94069,,,,ok
35 RUE DES BERGERES 91940 LES ULIS Essonne,48.682965,2.167313,35 Rue des Bergères 91940 Les Ulis,0.7870264079822616,0.5492677777777778,housenumber,91692_0150_00035,35,35 Rue des Bergères,Rue des Bergères,91940,Les Ulis,"91, Essonne, Île-de-France",91692,,,,ok
17 PARC TALBOT 78130 LES MUREAUX Yvelines,48.979844,1.910759,17 Parc Talbot 78130 Les Mureaux,0.7573845454545455,,housenumber,78440_0499_00017,17,17 Parc Talbot,Parc Talbot,78130,Les Mureaux,"78, Yvelines, Île-de-France",78440,,,,ok
78 Rue DU GENERAL LECLERC 94272 LE KREMLIN BICETRE CEDEX Val-de-Marne,48.810048,2.357902,78 Rue du Général Leclerc 94270 Le Kremlin-Bicêtre,0.6713123376623376,,housenumber,94043_4130_00078,78,78 Rue du Général Leclerc,Rue du Général Leclerc,94270,Le Kremlin-Bicêtre,"94, Val-de-Marne, Île-de-France",94043,,,,ok
7 RUE CHALIGNY 75012 PARIS Paris,48.845595,2.383354,7 Rue Chaligny 75012 Paris,0.7997051026392961,,housenumber,75112_1692_00007,7,7 Rue Chaligny,Rue Chaligny,75012,Paris,"75, Paris, Île-de-France",75112,,,Paris 12e Arrondissement,ok
39 Rue CASTERES 92110 CLICHY Hauts-de-Seine,48.90081,2.301396,39 Rue Castérès 92110 Clichy,0.6466383116883117,,housenumber,92024_1420_00039,39,39 Rue Castérès,Rue Castérès,92110,Clichy,"92, Hauts-de-Seine, Île-de-France",92024,,,,ok
7 RUE CHAPON 93300 AUBERVILLIERS Seine-Saint-Denis,48.915601,2.38511,7 Rue Chapon 93300 Aubervilliers,0.6351055102040816,,housenumber,93001_1420_00007,7,7 Rue Chapon,Rue Chapon,93300,Aubervilliers,"93, Seine-Saint-Denis, Île-de-France",93001,,,,ok
79 Avenue PABLO PICASSO 92000 NANTERRE Hauts-de-Seine,48.889465,2.220466,79 Avenue Pablo Picasso 92000 Nanterre,0.7136204195804196,,housenumber,92050_7010_00079,79,79 Avenue Pablo Picasso,Avenue Pablo Picasso,92000,Nanterre,"92, Hauts-de-Seine, Île-de-France",92050,,,,ok
5 AVENUE DE LA GARE 78690 LES ESSARTS LE ROI Yvelines,48.719211,1.893445,5 Avenue de la Gare 78690 Les Essarts-le-Roi,0.8045164335664334,0.4898645454545454,housenumber,78220_0300_00005,5,5 Avenue de la Gare,Avenue de la Gare,78690,Les Essarts-le-Roi,"78, Yvelines, Île-de-France",78220,,,,ok
13 RUE DE LA VOUTE 75012 PARIS Paris,48.845341,2.406653,13 Rue de la Voûte 75012 Paris,0.8213703896103896,0.6220527272727272,housenumber,75112_9924_00013,13,13 Rue de la Voûte,Rue de la Voûte,75012,Paris,"75, Paris, Île-de-France",75112,,,Paris 12e Arrondissement,ok
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
58 BIS AVENUE DE LA GRANDE ILE 78960 VOISINS LE BRETONNEUX Yvelines,48.763248,2.055711,58bis Avenue de la Grande-Île 78960 Voisins-le-Bretonneux,0.8030222930800542,0.5551186868686868,housenumber,78688_0169_00058_bis,58bis,58bis Avenue de la Grande-Île,Avenue de la Grande-Île,78960,Voisins-le-Bretonneux,"78, Yvelines, Île-de-France",78688,,,,ok
21 Rue CLAUDE PERNES 93110 ROSNY SOUS BOIS Seine-Saint-Denis,48.872261,2.489038,21 Rue Claude Pernes 93110 Rosny-sous-Bois,0.69594750385208,,housenumber,93064_1463_00021,21,21 Rue Claude Pernes,Rue Claude Pernes,93110,Rosny-sous-Bois,"93, Seine-Saint-Denis, Île-de-France",93064,,,,ok
40 Avenue DE VERDUN 94000 CRETEIL Val-de-Marne,48.797697,2.46454,40 Avenue de Verdun 94000 Créteil,0.7105473737373736,,housenumber,94028_9618_00040,40,40 Avenue de Verdun,Avenue de Verdun,94000,Créteil,"94, Val-de-Marne, Île-de-France",94028,,,,ok
6 Rue FOURCROY 75017 PARIS Paris,48.880018,2.295528,6 Rue Fourcroy 75017 Paris,0.7979351026392961,,housenumber,75117_3767_00006,6,6 Rue Fourcroy,Rue Fourcroy,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
39 B Avenue DE BONNEUIL 94210 ST MAUR DES FOSSES Val-de-Marne,48.790772,2.502988,Avenue de Bonneuil 94210 Saint-Maur-des-Fossés,0.6512236363636363,,street,94068_0735,,Avenue de Bonneuil,Avenue de Bonneuil,94210,Saint-Maur-des-Fossés,"94, Val-de-Marne, Île-de-France",94068,,,,ok
110 RUE DE BAGNOLET 75020 PARIS Paris,48.859776,2.403488,110 Rue de Bagnolet 75020 Paris,0.8317557575757575,0.5242299286987522,housenumber,75120_0626_00110,110,110 Rue de Bagnolet,Rue de Bagnolet,75020,Paris,"75, Paris, Île-de-France",75120,,,Paris 20e Arrondissement,ok
106 RUE JEAN DE LA FONTAINE 75016 PARIS Paris,48.849335,2.266976,106 Rue Jean de la Fontaine 75016 Paris,0.8561657851239669,0.5311830303030303,housenumber,75116_5249_00106,106,106 Rue Jean de la Fontaine,Rue Jean de la Fontaine,75016,Paris,"75, Paris, Île-de-France",75116,,,Paris 16e Arrondissement,ok
87 BOULEVARD DE PORT ROYAL 75013 PARIS Paris,48.838013,2.342774,87 Boulevard de Port-Royal 75013 Paris,0.8483564693446087,0.5552569696969696,housenumber,75113_7740_00087,87,87 Boulevard de Port-Royal,Boulevard de Port-Royal,75013,Paris,"75, Paris, Île-de-France",75113,,,Paris 13e Arrondissement,ok
20 RUE DU GENERAL BERTRAND 75007 PARIS Paris,48.847329,2.313414,20 Rue du Général Bertrand 75007 Paris,0.8427046511627906,,housenumber,75107_4015_00020,20,20 Rue du Général Bertrand,Rue du Général Bertrand,75007,Paris,"75, Paris, Île-de-France",75107,,,Paris 7e Arrondissement,ok
20 BIS RUE DARU 75008 PARIS Paris,48.878467,2.302951,20b Rue Daru 75008 Paris,0.6196045989304813,,housenumber,75108_2576_00020_b,20b,20b Rue Daru,Rue Daru,75008,Paris,"75, Paris, Île-de-France",75108,,,Paris 8e Arrondissement,ok
128 BOULEVARD MACDONALD 75019 PARIS Paris,48.899071,2.380432,128 Boulevard Macdonald 75019 Paris,0.8475554545454544,,housenumber,75119_5876_00128,128,128 Boulevard Macdonald,Boulevard Macdonald,75019,Paris,"75, Paris, Île-de-France",75119,,,Paris 19e Arrondissement,ok
8 PLACE FALGUIERE 75015 PARIS Paris,48.836076,2.310314,8 Place Falguière 75015 Paris,0.8102431016042779,0.6385878378378378,housenumber,75115_3497_00008,8,8 Place Falguière,Place Falguière,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
6 B Rue CLAVEL 75019 PARIS Paris,48.874675,2.385001,6b Rue Clavel 75019 Paris,0.7210954545454545,,housenumber,75119_2092_00006_b,6b,6b Rue Clavel,Rue Clavel,75019,Paris,"75, Paris, Île-de-France",75119,,,Paris 19e Arrondissement,ok
45 GRANDE RUE 78480 VERNEUIL SUR SEINE Yvelines,48.979749,1.977268,45 Grande Rue 78480 Verneuil-sur-Seine,0.7925862055335968,0.612850101010101,housenumber,78642_0250_00045,45,45 Grande Rue,Grande Rue,78480,Verneuil-sur-Seine,"78, Yvelines, Île-de-France",78642,,,,ok
25 RUE GABRIEL PERI 78420 CARRIERES SUR SEINE Yvelines,48.906314,2.176364,25 Rue Gabriel Péri 78420 Carrières-sur-Seine,0.8157642538593481,,housenumber,78124_0410_00025,25,25 Rue Gabriel Péri,Rue Gabriel Péri,78420,Carrières-sur-Seine,"78, Yvelines, Île-de-France",78124,,,,ok
79 RUE DE BELLEVUE 92100 BOULOGNE BILLANCOURT Hauts-de-Seine,48.834792,2.231066,79 Rue de Bellevue 92100 Boulogne-Billancourt,0.7486615562403697,0.6071718181818181,housenumber,92012_0651_00079,79,79 Rue de Bellevue,Rue de Bellevue,92100,Boulogne-Billancourt,"92, Hauts-de-Seine, Île-de-France",92012,,,,ok
7 RUE DES FRERES LUMIERE 94260 FRESNES Val-de-Marne,48.760106,2.323133,7 Rue des Frères Lumière 94260 Fresnes,0.7299781818181817,,housenumber,94034_3580_00007,7,7 Rue des Frères Lumière,Rue des Frères Lumière,94260,Fresnes,"94, Val-de-Marne, Île-de-France",94034,,,,ok
91 Rue SAINT GERMAIN 93230 ROMAINVILLE Seine-Saint-Denis,48.880388,2.430436,91 Rue Saint - Germain 93230 Romainville,0.6742066115702479,0.46393536656891493,housenumber,93063_8840_00091,91,91 Rue Saint - Germain,Rue Saint - Germain,93230,Romainville,"93, Seine-Saint-Denis, Île-de-France",93063,,,,ok
135 AVENUE VAUBAN 93190 LIVRY GARGAN Seine-Saint-Denis,48.918263,2.523651,135 Avenue Vauban 93190 Livry-Gargan,0.6678666895368781,,housenumber,93046_2490_00135,135,135 Avenue Vauban,Avenue Vauban,93190,Livry-Gargan,"93, Seine-Saint-Denis, Île-de-France",93046,,,,ok
9 RUE GUYNEMER 95360 MONTMAGNY Val-d'Oise,48.974782,2.336817,9 Rue Guynemer 95360 Montmagny,0.7089627272727271,,housenumber,95427_0360_00009,9,9 Rue Guynemer,Rue Guynemer,95360,Montmagny,"95, Val-d'Oise, Île-de-France",95427,,,,ok
4 Place NELSON MANDELA 77290 MITRY MORY Seine-et-Marne,48.962613,2.585368,4 Place Nelson Mandela 77290 Mitry-Mory,0.7028619382504286,,housenumber,77294_0945_00004,4,4 Place Nelson Mandela,Place Nelson Mandela,77290,Mitry-Mory,"77, Seine-et-Marne, Île-de-France",77294,,,,ok
27 AVENUE DU MARECHAL FOCH 93360 NEUILLY PLAISANCE Seine-Saint-Denis,48.862643,2.503916,27 Avenue du Maréchal Foch 93360 Neuilly-Plaisance,0.7287920759837178,,housenumber,93049_0760_00027,27,27 Avenue du Maréchal Foch,Avenue du Maréchal Foch,93360,Neuilly-Plaisance,"93, Seine-Saint-Denis, Île-de-France",93049,,,,ok
253 AVENUE ERNEST JOLLY 78955 CARRIERES SOUS POISSY Yvelines,48.942253,2.03401,253 Avenue Ernest Jolly 78955 Carrières-sous-Poissy,0.8258396610169491,,housenumber,78123_0132_00253,253,253 Avenue Ernest Jolly,Avenue Ernest Jolly,78955,Carrières-sous-Poissy,"78, Yvelines, Île-de-France",78123,,,,ok
7 AVENUE PAQUET 78260 ACHERES Yvelines,48.961936,2.07237,7 Avenue Paquet 78260 Achères,0.7425979606879606,,housenumber,78005_0341_00007,7,7 Avenue Paquet,Avenue Paquet,78260,Achères,"78, Yvelines, Île-de-France",78005,,,,ok
41 RUE DU 11 NOVEMBRE 1918 94700 MAISONS ALFORT Val-de-Marne,48.804982,2.432929,41 Rue du 11 Novembre 1918 94700 Maisons-Alfort,0.7714881972265023,,housenumber,94046_6900_00041,41,41 Rue du 11 Novembre 1918,Rue du 11 Novembre 1918,94700,Maisons-Alfort,"94, Val-de-Marne, Île-de-France",94046,,,,ok
6 B Rue CLAVEL 75019 PARIS Paris,48.874675,2.385001,6b Rue Clavel 75019 Paris,0.7210954545454545,,housenumber,75119_2092_00006_b,6b,6b Rue Clavel,Rue Clavel,75019,Paris,"75, Paris, Île-de-France",75119,,,Paris 19e Arrondissement,ok
23 Avenue HENRI BARBUSSE 93220 GAGNY Seine-Saint-Denis,48.885342,2.53085,23 Avenue Henri Barbusse 93220 Gagny,0.6646239622641509,,housenumber,93032_1490_00023,23,23 Avenue Henri Barbusse,Avenue Henri Barbusse,93220,Gagny,"93, Seine-Saint-Denis, Île-de-France",93032,,,,ok
88 BIS AVENUE CHARLES DE GAULLE 92200 NEUILLY SUR SEINE Hauts-de-Seine,48.882031,2.270129,88bis Avenue Charles de Gaulle 92200 Neuilly-sur-Seine,0.7444892207792208,,housenumber,92051_1436_00088_bis,88bis,88bis Avenue Charles de Gaulle,Avenue Charles de Gaulle,92200,Neuilly-sur-Seine,"92, Hauts-de-Seine, Île-de-France",92051,,,,ok
25 RUE THIBOUMERY 75015 PARIS Paris,48.835478,2.304116,25 Rue Thiboumery 75015 Paris,0.8155294652406416,,housenumber,75115_9270_00025,25,25 Rue Thiboumery,Rue Thiboumery,75015,Paris,"75, Paris, Île-de-France",75115,,,Paris 15e Arrondissement,ok
3 AVENUE DU MONT CASSEL 78990 ELANCOURT Yvelines,48.763556,1.955637,3 Avenue du Mont Cassel 78990 Élancourt,0.7935033075435203,,housenumber,78208_1960_00003,3,3 Avenue du Mont Cassel,Avenue du Mont Cassel,78990,Élancourt,"78, Yvelines, Île-de-France",78208,,,,ok
5 PLACE DE LA REVOLUTION 77680 ROISSY EN BRIE Seine-et-Marne,48.796171,2.650242,5 Place de la Révolution 77680 Roissy-en-Brie,0.7258688289676425,,housenumber,77390_1007_00005,5,5 Place de la Révolution,Place de la Révolution,77680,Roissy-en-Brie,"77, Seine-et-Marne, Île-de-France",77390,,,,ok
13 RUE GAETAN LAMY 93300 AUBERVILLIERS Seine-Saint-Denis,48.916392,2.368851,13 Rue Gaétan Lamy 93300 Aubervilliers,0.674427520661157,,housenumber,93001_4105_00013,13,13 Rue Gaétan Lamy,Rue Gaétan Lamy,93300,Aubervilliers,"93, Seine-Saint-Denis, Île-de-France",93001,,,,ok
4 Rue ROGER LE MANER 93270 SEVRAN Seine-Saint-Denis,48.938863,2.527929,4 Rue Roger le Maner 93270 Sevran,0.6370636363636363,,housenumber,93071_1590_00004,4,4 Rue Roger le Maner,Rue Roger le Maner,93270,Sevran,"93, Seine-Saint-Denis, Île-de-France",93071,,,,ok
2 Rue DE LA REPUBLIQUE 93700 DRANCY Seine-Saint-Denis,48.921948,2.445461,2 Rue de la République 93700 Drancy,0.663981958041958,,housenumber,93029_8115_00002,2,2 Rue de la République,Rue de la République,93700,Drancy,"93, Seine-Saint-Denis, Île-de-France",93029,,,,ok
10 BOULEVARD DE LA LIBERTE 93261 LES LILAS CEDEX Seine-Saint-Denis,48.87969,2.416872,10 Boulevard de la Liberté 93260 Les Lilas,0.5879314111261872,0.4422514438502673,housenumber,93045_5150_00010,10,10 Boulevard de la Liberté,Boulevard de la Liberté,93260,Les Lilas,"93, Seine-Saint-Denis, Île-de-France",93045,,,,ok
2 Mail DE L'EGALITE 93120 LA COURNEUVE Seine-Saint-Denis,48.925634,2.390983,2 Mail de l’Egalite 93120 La Courneuve,0.6627757024793388,,housenumber,93027_3150_00002,2,2 Mail de l’Egalite,Mail de l’Egalite,93120,La Courneuve,"93, Seine-Saint-Denis, Île-de-France",93027,,,,ok
2 RUE DE L'EGLISE 77850 HERICY Seine-et-Marne,48.449455,2.765257,2 Rue de l'Eglise 77850 Héricy,0.6467708264462809,0.5122375757575758,housenumber,77226_0400_00002,2,2 Rue de l'Eglise,Rue de l'Eglise,77850,Héricy,"77, Seine-et-Marne, Île-de-France",77226,,,,ok
160 BIS RUE DU TEMPLE 75003 PARIS Paris,48.865918,2.361109,160b Rue du Temple 75003 Paris,0.6783536363636363,0.5361646640316206,housenumber,75103_9191_00160_b,160b,160b Rue du Temple,Rue du Temple,75003,Paris,"75, Paris, Île-de-France",75103,,,Paris 3e Arrondissement,ok
62 Avenue GABRIEL PERI 93582 ST OUEN CEDEX Seine-Saint-Denis,48.907808,2.332368,62 Avenue Gabriel Péri 93400 Saint-Ouen-sur-Seine,0.6389793255131965,0.4287051871657753,housenumber,93070_4105_00062,62,62 Avenue Gabriel Péri,Avenue Gabriel Péri,93400,Saint-Ouen-sur-Seine,"93, Seine-Saint-Denis, Île-de-France",93070,,,,ok
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
14 RUE LE BUA 75020 PARIS Paris,48.866575,2.40361,14 Rue Le Bua 75020 Paris,0.7923881818181818,,housenumber,75120_5435_00014,14,14 Rue Le Bua,Rue Le Bua,75020,Paris,"75, Paris, Île-de-France",75120,,,Paris 20e Arrondissement,ok
206 Boulevard PEREIRE 75017 PARIS Paris,48.880461,2.288405,206 Boulevard Pereire 75017 Paris,0.8406984210526315,,housenumber,75117_7258_00206,206,206 Boulevard Pereire,Boulevard Pereire,75017,Paris,"75, Paris, Île-de-France",75117,,,Paris 17e Arrondissement,ok
32 RUE OLYMPE DE GOUGES 92600 ASNIERES SUR SEINE Hauts-de-Seine,48.919901,2.315526,32 Rue Olympe de Gouges 92600 Asnières-sur-Seine,0.7505377419354838,,housenumber,92004_6682_00032,32,32 Rue Olympe de Gouges,Rue Olympe de Gouges,92600,Asnières-sur-Seine,"92, Hauts-de-Seine, Île-de-France",92004,,,,ok
